Report Date,County,Place of Fatality,Deaths by County of Residence
01/01/2021,Albany,305,208
01/01/2021,Allegany,54,73
01/01/2021,Bronx,3241,3548
01/01/2021,Broome,228,208
01/01/2021,Cattaraugus,40,44
01/01/2021,Cayuga,19,25
01/01/2021,Chautauqua,26,23
01/01/2021,Chemung,119,97
01/01/2021,Chenango,13,21
01/01/2021,Clinton,10,8
01/01/2021,Columbia,57,60
01/01/2021,Cortland,35,36
01/01/2021,Delaware,4,11
01/01/2021,Dutchess,251,240
01/01/2021,Erie,1298,1219
01/01/2021,Essex,13,16
01/01/2021,Franklin,8,9
01/01/2021,Fulton,25,36
01/01/2021,Genesee,48,54
01/01/2021,Greene,8,25
01/01/2021,Hamilton,0,1
01/01/2021,Herkimer,14,28
01/01/2021,Jefferson,9,10
01/01/2021,Kings,4888,5438
01/01/2021,Lewis,4,15
01/01/2021,Livingston,14,25
01/01/2021,Madison,63,66
01/01/2021,Manhattan,3650,2260
01/01/2021,Monroe,654,587
01/01/2021,Montgomery,43,47
01/01/2021,Nassau,2950,2409
01/01/2021,Niagara,134,185
01/01/2021,Non-NYS,0,155
01/01/2021,Oneida,253,255
01/01/2021,Onondaga,473,434
01/01/2021,Ontario,78,65
01/01/2021,Orange,531,515
01/01/2021,Orleans,42,64
01/01/2021,Oswego,35,41
01/01/2021,Otsego,18,16
01/01/2021,Putnam,66,67
01/01/2021,Queens,4341,5397
01/01/2021,Rensselaer,73,83
01/01/2021,Richmond,895,896
01/01/2021,Rockland,549,589
01/01/2021,Saratoga,27,44
01/01/2021,Schenectady,83,87
01/01/2021,Schoharie,0,5
01/01/2021,Schuyler,4,10
01/01/2021,Seneca,24,36
01/01/2021,St. Lawrence,44,45
01/01/2021,Statewide Total,30337,30337
01/01/2021,Steuben,107,120
01/01/2021,Suffolk,2374,2328
01/01/2021,Sullivan,35,40
01/01/2021,Tioga,39,54
01/01/2021,Tompkins,18,15
01/01/2021,Ulster,87,145
01/01/2021,Warren,37,32
01/01/2021,Washington,11,16
01/01/2021,Wayne,21,39
01/01/2021,Westchester,1822,1677
01/01/2021,Wyoming,18,24
01/01/2021,Yates,7,11
01/01/2022,Albany,763,439
01/01/2022,Allegany,82,137
01/01/2022,Bronx,4333,4792
01/01/2022,Broome,549,467
01/01/2022,Cattaraugus,192,189
01/01/2022,Cayuga,92,120
01/01/2022,Chautauqua,222,226
01/01/2022,Chemung,257,194
01/01/2022,Chenango,65,101
01/01/2022,Clinton,80,58
01/01/2022,Columbia,128,121
01/01/2022,Cortland,82,92
01/01/2022,Delaware,23,59
01/01/2022,Dutchess,582,537
01/01/2022,Erie,2507,2247
01/01/2022,Essex,35,48
01/01/2022,Franklin,21,31
01/01/2022,Fulton,85,133
01/01/2022,Genesee,144,162
01/01/2022,Greene,31,98
01/01/2022,Hamilton,0,4
01/01/2022,Herkimer,59,160
01/01/2022,Jefferson,107,118
01/01/2022,Kings,7053,7821
01/01/2022,Lewis,13,41
01/01/2022,Livingston,66,93
01/01/2022,Madison,106,117
01/01/2022,Manhattan,5268,3216
01/01/2022,Monroe,1568,1353
01/01/2022,Montgomery,148,177
01/01/2022,Nassau,4163,3417
01/01/2022,Niagara,308,476
01/01/2022,Non-NYS,0,379
01/01/2022,Oneida,729,704
01/01/2022,Onondaga,1073,887
01/01/2022,Ontario,196,145
01/01/2022,Orange,890,834
01/01/2022,Orleans,52,104
01/01/2022,Oswego,92,148
01/01/2022,Otsego,113,71
01/01/2022,Putnam,94,106
01/01/2022,Queens,6012,7410
01/01/2022,Rensselaer,178,215
01/01/2022,Richmond,1219,1242
01/01/2022,Rockland,770,807
01/01/2022,Saratoga,195,267
01/01/2022,Schenectady,256,267
01/01/2022,Schoharie,7,29
01/01/2022,Schuyler,5,23
01/01/2022,Seneca,33,81
01/01/2022,St. Lawrence,147,159
01/01/2022,Statewide Total,48581,48581
01/01/2022,Steuben,172,217
01/01/2022,Suffolk,3846,3826
01/01/2022,Sullivan,82,103
01/01/2022,Tioga,40,78
01/01/2022,Tompkins,76,71
01/01/2022,Ulster,177,313
01/01/2022,Warren,167,107
01/01/2022,Washington,36,91
01/01/2022,Wayne,71,127
01/01/2022,Westchester,2636,2416
01/01/2022,Wyoming,61,74
01/01/2022,Yates,24,36
01/02/2021,Albany,309,212
01/02/2021,Allegany,54,73
01/02/2021,Bronx,3248,3556
01/02/2021,Broome,230,210
01/02/2021,Cattaraugus,41,45
01/02/2021,Cayuga,21,27
01/02/2021,Chautauqua,28,25
01/02/2021,Chemung,122,97
01/02/2021,Chenango,15,23
01/02/2021,Clinton,10,8
01/02/2021,Columbia,58,61
01/02/2021,Cortland,36,38
01/02/2021,Delaware,4,12
01/02/2021,Dutchess,254,243
01/02/2021,Erie,1309,1229
01/02/2021,Essex,13,16
01/02/2021,Franklin,8,9
01/02/2021,Fulton,26,37
01/02/2021,Genesee,50,56
01/02/2021,Greene,10,27
01/02/2021,Hamilton,0,1
01/02/2021,Herkimer,14,30
01/02/2021,Jefferson,10,11
01/02/2021,Kings,4900,5451
01/02/2021,Lewis,4,15
01/02/2021,Livingston,14,25
01/02/2021,Madison,64,68
01/02/2021,Manhattan,3653,2262
01/02/2021,Monroe,663,593
01/02/2021,Montgomery,47,51
01/02/2021,Nassau,2961,2420
01/02/2021,Niagara,136,188
01/02/2021,Non-NYS,0,155
01/02/2021,Oneida,260,260
01/02/2021,Onondaga,480,439
01/02/2021,Ontario,78,66
01/02/2021,Orange,534,518
01/02/2021,Orleans,42,64
01/02/2021,Oswego,36,42
01/02/2021,Otsego,19,16
01/02/2021,Putnam,66,67
01/02/2021,Queens,4345,5400
01/02/2021,Rensselaer,75,85
01/02/2021,Richmond,894,895
01/02/2021,Rockland,551,591
01/02/2021,Saratoga,31,48
01/02/2021,Schenectady,84,88
01/02/2021,Schoharie,0,5
01/02/2021,Schuyler,4,10
01/02/2021,Seneca,24,36
01/02/2021,St. Lawrence,44,45
01/02/2021,Statewide Total,30476,30476
01/02/2021,Steuben,107,124
01/02/2021,Suffolk,2387,2341
01/02/2021,Sullivan,36,41
01/02/2021,Tioga,39,54
01/02/2021,Tompkins,18,15
01/02/2021,Ulster,88,146
01/02/2021,Warren,37,32
01/02/2021,Washington,11,16
01/02/2021,Wayne,22,41
01/02/2021,Westchester,1826,1681
01/02/2021,Wyoming,19,25
01/02/2021,Yates,7,11
01/02/2022,Albany,768,441
01/02/2022,Allegany,82,138
01/02/2022,Bronx,4347,4807
01/02/2022,Broome,552,469
01/02/2022,Cattaraugus,192,189
01/02/2022,Cayuga,92,120
